product,sale_date,category,quantity,total_price,total_profit,payment_type,customer_id,location,gender,age_band,year,quarter,page
Dawson Trolley,2025-03-18,Homeware — Design,1,57.0,22.8,Credit Card,6423,Limerick,Male,35-44,2025,1,13
Camp Stool,2025-03-18,Homeware — Design,1,16.5,6.6,Credit Card,16406,Donegal,Female,45-54,2025,1,13
Rose Gold Two Tier Drainer,2025-03-19,Homeware — Design,2,55.8,18.6,Credit Card,18019,Tipperary,Male,45–54,2025,1,13
Navy Crew and Jogger Set,2025-03-19,Children  — Boys Clothing,3,52.5,26.77,Credit Card,5807,Kildare,Male,Category 35–44,2025,1,13
Black Cigarette Trousers,2025-03-19,Men —  Trousers,1,24.0,11.76,Credit Card,19009,Dublin,F,Category 35-44,2025,1,14
Light Blue Ditsy Slub Dress,2025-03-20,Women — Dresses,1,22.5,11.25,Credit Card,12775,Cork,Female,45-54,2025,1,14
Grey Marl Panda Face Crew,2025-03-20,Children —  Boys Clothing,3,34.5,17.59,Credit Card,7562,Kerry,Male,Group 18—24,2025,1,14
Rose Print Prom Dress,2025-03-20,Children — Girls Clothing,2,74.0,37.74,Credit Card,9837,Tipperary,Male,Group 35—44,2025,1,14
Rose Gold Two Tier Drainer,2025-03-20,Homeware — Design,1,31.0,12.4,Credit Card,8175,Dublin,Female,25—34,2025,1,14
Lilac/Mint Long Sleeve Shirts,2025-03-20,Children — Girls Clothing,1,26.0,13.26,Credit Card,4909,Dublin,Male,Range 25-34,2025,1,14
Navy Linen Blend Dress,2025-03-20,Women — Dresses,1,30.0,15.0,Debit Card,16472,Laois,Male,35-44,2025,1,14
Woodel Wall Mirror,2025-03-20,Homeware — Design,1,66.0,26.4,CC,2253,Wicklow,Female,Group 35–44,2025,1,14
Multi Llama Vests Three Pack,2025-03-20,Children — Girls Clothing,1,17.5,8.93,Debit Card,3419,Dublin,Male,Range 35-44,2025,1,14
Multi Short Sleeve Character T-shirt,2025-03-21,Children — Boys Clothing,1,16.5,8.41,Debit Card,18141,Offaly,Male,Category None,2025,1,14
Black Skinny Fit Ultra Flex Jeans,2025-03-21,Men — Jeans,1,29.7,9.9,Debit Card,17647,Dublin,Female,Range 25—34,2025,1,14
Blue Puff Sleeve T–shirt Five Pack,2025-03-22,Children  — Girls Clothing,3,64.5,32.9,Credit Card,2253,Wicklow,Female,35—44,2025,1,14
Double Wall Mug,2025-03-22,Homeware  — Design,1,12.5,5.0,Credit Card,11069,Cork,Male,Category 25—34,2025,1,14
Navy Crew and Jogger Set,2025-03-22,Children —  Boys Clothing,1,17.5,8.93,Debit Card,13097,Dublin,M,45–54,2025,1,14
Multi Short Sleeve Character T-shirt,2025-03-23,Children — Boys Clothing,1,16.5,8.41,Credit Card,10847,Cork,Male,25-34,2025,1,14
Blue Floral Embroidered Mac,2025-03-23,Children — Girls Clothing,1,35.0,17.85,Credit Card,1772,Longford,Prefer not to say,Range 35-44,2025,1,14
Woodel Wall Mirror,2025-03-23,Homeware —  Design,1,66.0,26.4,Credit Card,4638,Kildare,Female,Range 35–44,2025,1,14
Navy/White Long Sleeve Gingham Cheque Shirt,2025-03-23,Men — Shirts,2,58.0,22.04,Credit Card,9244,Dublin,Male,Range 25-34,2025,1,14
Knitted Pom Pom Throw,2025-03-24,Homeware — Bed Bath,1,33.0,11.55,Debit Card,10644,Dublin,F,Group 25-34,2025,1,14
Dark Wash Straight Fit Jeans,2025-03-24,Men — Jeans,1,33.0,13.2,Credit Card,8859,Waterford,Male,Category 35-44,2025,1,14
Navy Short Sleeve Linen Blend Shirt,2025-03-24,Men — Shirts,1,21.15,6.58,Debit Card,15434,Leitrim,Male,45-54,2025,1,14
Light Grey Straight Fit Jeans,2025-03-24,Men — Jeans,1,29.0,11.6,Credit Card,4012,Kildare,F,Group 45–54,2025,1,14
Orange/Navy Shorts Three Pack,2025-03-24,Children — Girls Clothing,1,16.5,8.41,Debit Card,3700,Cork,Prefer not to say,Range 25-34,2025,1,14
Light Grey Straight Fit Jeans,2025-03-24,Men — Jeans,1,29.0,11.6,Debit Card,3978,Wexford,Female,35-44,2025,1,14
Dwellers Stool,2025-03-24,Homeware — Design,7,80.5,32.2,Credit Card,13247,Limerick,Female,Range 25-34,2025,1,14
Blue Floral Embroidered Mac,2025-03-24,Children  — Girls Clothing,1,31.5,14.35,Credit Card,5250,Wicklow,F,25-34,2025,1,14
Navy Linen Blend Dress,2025-03-24,Women —  Dresses,1,30.0,15.0,Credit Card,8322,Galway,F,35-44,2025,1,14
Navy Tailored Trousers,2025-03-24,Men — Trousers,1,42.0,20.58,Credit Card,4097,Dublin,Male,25-34,2025,1,14
Floral Embroidered Kaftan,2025-03-25,Children — Girls Clothing,3,96.0,48.96,Debit Card,5711,Dublin,Female,Range 25-34,2025,1,14
Marshall Oxford Shirt,2025-03-25,Men — Shirts,2,126.0,47.88,Debit Card,11281,Kildare,M,Group 45–54,2025,1,14
Mid Blue Straight Fit Jeans,2025-03-25,Men — Jeans,1,38.0,15.2,Credit Card,13794,Dublin,Male,Range 25—34,2025,1,15
Light Blue Ditsy Slub Dress,2025-03-25,Women — Dresses,1,22.5,11.25,Debit Card,10150,Dublin,Female,18-24,2025,1,15
Mid Blue Straight Fit Jeans,2025-03-26,Men — Jeans,1,38.0,15.2,PayPal,18637,Dublin,Female,25–34,2025,1,15
Black Skinny Fit Jeans,2025-03-26,Men  —  Jeans,1,46.0,18.4,Debit Card,13553,Kildare,Female,Range 45—54,2025,1,15
Cream Vintage Bin,2025-03-26,Homeware — Bed Bath,6,432.0,151.2,Credit Card,4877,Dublin,Female,Category 45-54,2025,1,15
Ayres Chambray Top,2025-03-27,Women — Tops,1,56.7,31.5,CC,3319,Cork,M,18-24,2025,1,15
Floral Embroidered Kaftan,2025-03-27,Children — Girls Clothing,1,32.0,16.32,Debit Card,13941,Kerry,Female,Category 35-44,2025,1,15
Set of 3 Animal Canvas Prints,2025-03-27,Homeware — Design,1,23.5,9.4,Credit Card,2794,Meath,Female,Group 18—24,2025,1,15
Orange/Navy Shorts Three Pack,2025-03-27,Children — Girls Clothing,2,33.0,16.83,PayPal,13194,Limerick,F,45-54,2025,1,15
Dark Blue Belted Jeans,2025-03-27,Men —  Jeans,1,29.0,11.6,Debit Card,15562,Cork,Male,Range 55—64,2025,1,15
Fancy Ballerina Shoes,2025-03-27,Men — Shoes,4,172.0,77.4,Credit Card,4444,Clare,Prefer not to say,Range 35–44,2025,1,15
Red Joggers Two Pack,2025-03-28,Children — Boys Clothing,-1,15.0,7.65,CC,2787,Monaghan,Female,Group 55-64,2025,1,15
White Colour Block T-Shirt,2025-03-28,Children — Boys Clothing,3,67.5,34.42,Debit Card,10087,Dublin,Female,Category 45–54,2025,1,15
Coral Plisse Dress,2025-03-28,Women — Dresses,1,36.0,16.0,Debit Card,13897,Louth,Female,Group 35-44,2025,1,15
Black Skinny Fit Ultra Flex Jeans,2025-03-28,Men — Jeans,1,33.0,13.2,Credit Card,1819,Dublin,Female,Group 35-44,2025,1,15
Blue Floral Embroidered Mac,2025-03-28,Children — Girls Clothing,1,35.0,17.85,Credit Card,11100,Limerick,M,Range 25-34,2025,1,15
Multi Short Sleeve Character T-shirt,2025-03-28,Children — Boys Clothing,1,16.5,8.41,Debit Card,6942,Westmeath,M,Group 35–44,2025,1,15
Black Loose Fit Jeans,2025-03-28,Men — Jeans,1,29.0,11.6,Credit Card,4591,Mayo,Female,Range 25-34,2025,1,15
Blue Puff Sleeve T-shirt Five Pack,2025-03-28,Children — Girls Clothing,2,43.0,21.93,Debit Card,19272,Louth,Male,Range 25-34,2025,1,15
Harriet Chambray Top,2025-03-28,Women — Tops,1,31.5,17.5,Debit Card,6719,Galway,M,Group 25—34,2025,1,15
Dwellers Stool,2025-03-29,Homeware —  Design,9,93.15,31.05,Credit Card,17559,Kildare,M,Range 18-24,2025,1,15
Navy Suede Loafers,2025-03-29,Men — Shoes,1,35.0,15.75,Credit Card,12987,Louth,M,Category 18-24,2025,1,15
Dark Wash Straight Fit Jeans,2025-03-30,Men — Jeans,1,33.0,13.2,Debit Card,6181,Louth,M,Group 25-34,2025,1,15
Dark Blue Belted Jeans,2025-03-30,Men  — Jeans,1,29.0,11.6,Voucher,4478,Dublin,Female,Group 18-24,2025,1,15
Black Single Cuff Shirt,2025-03-30,Men — Shirts,3,126.0,47.88,PayPal,3256,Waterford,F,Range 35–44,2025,1,15
Black Skinny Zip Trousers,2025-03-30,Men — Trousers,1,41.4,17.94,Credit Card,11872,Kilkenny,M,Group 45-54,2025,1,15
Navy Linen Blend Dress,2025-03-30,Women — Dresses,1,30.0,15.0,PayPal,4642,Cork,F,Category 25-34,2025,1,15
Blue Stripe Snuggle Fit Pyjamas,2025-03-30,Children — Boys Clothing,2,37.0,18.87,Debit Card,15647,Meath,Prefer not to say,25-34,2025,1,15
Knitted Pom Pom Throw,2025-03-31,Homeware — Bed Bath,1,33.0,11.55,Debit Card,16584,Dublin,Female,Category 45–54,2025,1,15
Dwellers Stool,2025-03-31,Homeware — Design,9,103.5,41.4,Credit Card,9391,Donegal,Female,Range 18-24,2025,1,15
Black Tea Dress,2025-03-31,Women  — Dresses,1,33.3,14.8,Voucher,12253,Dublin,M,Group 18-24,2025,1,16
Navy Jersey Joggers,2025-03-31,Men  — Trousers,2,48.0,23.52,Credit Card,4909,Dublin,M,Category 25-34,2025,1,16
Rose Print Prom Dress,2025-03-31,Children — Girls Clothing,1,37.0,18.87,PayPal,7591,Kildare,Female,Range 25-34,2025,1,16
White Colour Block T-Shirt,2025-03-31,Children — Boys Clothing,3,67.5,34.42,Debit Card,7303,Kildare,Female,18-24,2025,1,16
Rose Print Prom Dress,2025-04-01,Children — Girls Clothing,2,74.0,37.74,Credit Card,17100,Wexford,M,Category 25–34,2025,2,1
Black Jersey Denim Leggings,2025-04-01,Men — Trousers,1,57.0,27.93,Voucher,13094,Galway,Female,Category 18-24,2025,2,1
Pink Slim Fit Double Cuff Shirt,2025-04-01,Men — Shirts,1,29.0,11.02,Credit Card,1312,Dublin,Male,Category 25-34,2025,2,1
Blue Puff Sleeve T-shirt Five Pack,2025-04-01,Children — Girls Clothing,3,64.5,32.9,Credit Card,3244,Wicklow,Prefer not to say,Category 35-44,2025,2,1
Grey Marl Panda Face Crew,2025-04-01,Children — Boys Clothing,3,34.5,17.59,Credit Card,10219,Dublin,Female,Group 25-34,2025,2,1
Black Skinny Fit Jeans,2025-04-01,Men — Jeans,1,46.0,18.4,CC,4474,Dublin,Female,Category 25-34,2025,2,1
Blue Floral Embroidered Mac,2025-04-01,Children — Girls Clothing,1,35.0,17.85,Credit Card,18712,Cork,Male,Range 35-44,2025,2,1
Double Wall Mug,2025-04-01,Homeware — Design,1,12.5,5.0,Credit Card,12600,Cork,Male,Range 25-34,2025,2,1
Chevron Pattern Towering Heels,2025-04-01,Men — Shoes,1,57.0,25.65,CC,17366,Dublin,Female,35-44,2025,2,1
Pink Slim Fit Double Cuff Shirt,2025-04-02,Men — Shirts,1,29.0,11.02,PayPal,4295,Offaly,Female,Range 25—34,2025,2,1
Black Skinny Fit Ultra Flex Jeans,2025-04-02,Men — Jeans,1,29.7,9.9,Debit Card,5909,Louth,Female,35-44,2025,2,1
Dark Blue Belted Jeans,2025-04-02,Men — Jeans,1,29.0,11.6,PayPal,5828,Meath,Female,Category 25-34,2025,2,1
Ultimate Feels Like Down Duvet,2025-04-02,Homeware — Bed Bath,2,136.0,47.6,PayPal,11381,Galway,F,45–54,2025,2,1
Soft Velour Eyelet Lined Curtains,2025-04-02,Homeware — Design,3,318.0,127.2,Credit Card,1116,Wicklow,Male,Category 25-34,2025,2,1
Harriet Chambray Top,2025-04-03,Women — Tops,1,31.5,17.5,Credit Card,10994,Dublin,M,Range 25-34,2025,2,1
Double Wall Mug,2025-04-03,Homeware — Design,1,12.5,5.0,Credit Card,13066,Meath,Female,Range 25–34,2025,2,1
Navy Jersey Joggers,2025-04-03,Men — Trousers,2,48.0,23.52,Debit Card,11222,Cork,Female,Group 35-44,2025,2,1
Blue Floral Embroidered Mac,2025-04-03,Children — Girls Clothing,1,31.5,14.35,Credit Card,14284,Dublin,Male,35-44,2025,2,1
Long Sleeve Swing Shirt,2025-04-03,Women  — Tops,1,31.5,17.5,PayPal,15553,Cork,Prefer not to say,Category 25-34,2025,2,1
Multi Short Sleeve Character T-shirt,2025-04-04,Children  — Boys Clothing,1,16.5,8.41,Credit Card,5912,Dublin,M,Category 35-44,2025,2,1
Cydney Plaid Shirt,2025-04-04,Women  — Tops,1,57.0,34.2,Debit Card,18700,Mayo,Male,Range 55-64,2025,2,1
Blue Floral Embroidered Mac,2025-04-05,Children — Girls Clothing,1,35.0,17.85,Debit Card,18541,Carlow,Female,Range 18–24,2025,2,1
Black Skinny Fit Ultra Flex Jeans,2025-04-05,Men — Jeans,1,33.0,13.2,Credit  Card,11237,Dublin,M,Range 45-54,2025,2,1
Black Full Length Leggings,2025-04-05,Men — Trousers,1,46.0,22.54,Debit Card,2481,Cavan,Female,Range 25-34,2025,2,1
Pink Cheque Shirt Dress,2025-04-05,Children  — Girls Clothing,1,16.5,8.41,Debit Card,3403,Dublin,F,Group 25-34,2025,2,1
Dark Wash Straight Fit Jeans,2025-04-06,Men  — Jeans,1,33.0,13.2,Credit Card,15400,Meath,Male,18-24,2025,2,1
Black Loose Fit Jeans,2025-04-06,Men — Jeans,1,29.0,11.6,PayPal,15844,Dublin,Female,Range 45-54,2025,2,1
Rose Print Prom Dress,2025-04-06,Children — Girls Clothing,1,37.0,18.87,Credit Card,9412,Cavan,Male,Category 25–34,2025,2,1
Dwellers Stool,2025-04-06,Homeware — Design,3,31.05,10.35,Credit Card,1409,Sligo,Female,Range 25–34,2025,2,1
Black Single Cuff Shirt,2025-04-06,Men — Shirts,1,42.0,15.96,Debit Card,16647,Clare,Female,Range 45-54,2025,2,1
Blue Stripe Snuggle Fit Pyjamas,2025-04-06,Children  — Boys Clothing,2,37.0,18.87,Credit Card,9362,Dublin,Prefer not to say,Range 18-24,2025,2,2
Light Grey Straight Fit Jeans,2025-04-06,Men — Jeans,1,29.0,11.6,Debit Card,7406,Louth,M,Range 18-24,2025,2,2
White Colour Block T-Shirt,2025-04-06,Children — Boys Clothing,3,67.5,34.42,Debit Card,10647,Mayo,Female,Range 45-54,2025,2,2
Dark Blue Belted Jeans,2025-04-06,Men — Jeans,-1,29.0,11.6,CC,7175,Cork,Prefer not to say,Category 45—54,2025,2,2
Multi Llama Vests Three Pack,2025-04-07,Children — Girls Clothing,1,17.5,8.93,PayPal,18219,Dublin,Female,Category 45-54,2025,2,2
Blue Stripe Snuggle Fit Pyjamas,2025-04-07,Children — Boys Clothing,2,37.0,18.87,Credit Card,5995,Sligo,M,Range 25-34,2025,2,2
Navy Crew and Jogger Set,2025-04-07,Children — Boys Clothing,2,35.0,17.85,Debit Card,7987,Kildare,Male,Category 25—34,2025,2,2
Blue Floral Embroidered Mac,2025-04-07,Children — Girls  Clothing,1,35.0,17.85,Debit Card,2887,Kildare,Female,Group 35-44,2025,2,2
White Short Sleeve Oxford Shirt,2025-04-07,Men — Shirts,1,53.0,20.14,Credit Card,4426,Wexford,M,Category 35—44,2025,2,2
Navy Crew and Jogger Set,2025-04-07,Children — Boys Clothing,2,35.0,17.85,Credit Card,11222,Cork,F,Category 35—44,2025,2,2
Juliette Pullover,2025-04-08,Women — Tops,1,47.7,26.5,CC,17772,Waterford,Male,45-54,2025,2,2
Double Wall Mug,2025-04-08,Homeware — Design,1,12.5,5.0,CC,16250,Cork,Male,Group 55-64,2025,2,2
Rose Gold Two Tier Drainer,2025-04-08,Homeware —  Design,1,31.0,12.4,Credit Card,10297,Wexford,Female,Category 18–24,2025,2,2
Orange/Navy Shorts Three Pack,2025-04-08,Children — Girls Clothing,1,16.5,8.41,Credit Card,2641,Dublin,Female,Range 18—24,2025,2,2
Neutral Chino Trousers,2025-04-08,Men — Trousers,1,35.0,17.15,CC,6916,Meath,Male,18-24,2025,2,2
Hawaiian Print Sun Safe Two Piece,2025-04-08,Children — Girls Clothing,2,35.0,17.85,Credit Card,19562,Wexford,F,Category 25-34,2025,2,2
Rose Print Prom Dress,2025-04-09,Children — Girls Clothing,2,74.0,37.74,CC,10906,Wicklow,M,Range 18–24,2025,2,2
Mid Blue Straight Fit Jeans,2025-04-09,Men — Jeans,2,76.0,30.4,Debit Card,1866,Dublin,Female,Category 18-24,2025,2,2
Pink Slim Fit Double Cuff Shirt,2025-04-09,Men — Shirts,1,29.0,11.02,Credit Card,12550,Cork,Female,Category 25—34,2025,2,2
White Cropped Leggings,2025-04-09,Men — Trousers,1,35.0,17.15,Voucher,5552,Longford,Female,35–44,2025,2,2
White Colour Block T-Shirt,2025-04-09,Children — Boys Clothing,2,45.0,22.95,Debit Card,2472,Dublin,M,55—64,2025,2,2
Hawaiian Print Sun Safe Two Piece,2025-04-09,Children — Girls Clothing,1,17.5,8.93,Debit  Card,15650,Cork,Male,Range 18-24,2025,2,2
Blue Stripe Snuggle Fit Pyjamas,2025-04-10,Children — Boys Clothing,5,92.5,47.17,Credit Card,1344,Dublin,Female,Range 35—44,2025,2,2
Blue Floral Embroidered Mac,2025-04-10,Children — Girls Clothing,1,35.0,17.85,Credit Card,6082,Leitrim,Male,Range 25-34,2025,2,2
Hawaiian Print Sun Safe Two Piece,2025-04-10,Children — Girls Clothing,2,35.0,17.85,Debit Card,13941,Kerry,F,35-44,2025,2,2
Black Slim Fit Jeans,2025-04-10,Men — Jeans,1,46.0,18.4,PayPal,13631,Dublin,M,Category 35-44,2025,2,2
Blue Puff Sleeve T-shirt Five Pack,2025-04-10,Children — Girls Clothing,1,21.5,10.96,Credit Card,3375,Dublin,Male,Range 18-24,2025,2,2
Rose Gold Two Tier Drainer,2025-04-10,Homeware — Design,2,62.0,24.8,Credit Card,5781,Cork,Female,25-34,2025,2,2
Ultimate Feels Like Down Duvet,2025-04-10,Homeware — Bed Bath,2,136.0,47.6,PayPal,6409,Limerick,Male,Range 18–24,2025,2,2
Multi Llama Vests Three Pack,2025-04-10,Children — Girls Clothing,1,17.5,8.93,Credit Card,4887,Dublin,M,Group 45-54,2025,2,2
Black Skinny Zip Trousers,2025-04-11,Men — Trousers,-1,46.0,22.54,Credit Card,12916,Kerry,Male,Category 25-34,2025,2,3
Floral Embroidered Kaftan,2025-04-11,Children — Girls Clothing,2,64.0,32.64,Debit Card,6784,Cork,Male,25—34,2025,2,3
White Tie and Shirt Set,2025-04-11,Men — Shirts,3,105.0,39.9,Debit Card,6466,Dublin,M,25–34,2025,2,3
Navy/White Long Sleeve Gingham Cheque Shirt,2025-04-12,Men — Shirts,2,58.0,22.04,Credit Card,5912,Dublin,M,Category 35-44,2025,2,3
Grey Marl Panda Face Crew,2025-04-12,Children — Boys Clothing,3,34.5,17.59,Credit Card,8578,Kildare,Female,35—44,2025,2,3
White Colour Block T-Shirt,2025-04-12,Children — Boys Clothing,2,45.0,22.95,CC,18931,Dublin,F,Range 35-44,2025,2,3
Hawaiian Print Sun Safe Two Piece,2025-04-12,Children — Girls Clothing,2,35.0,17.85,Credit Card,6466,Dublin,Male,25-34,2025,2,3
Dark Ink Slim Fit Jeans,2025-04-13,Men  — Jeans,1,46.0,18.4,Debit Card,9481,Roscommon,Female,Group 18-24,2025,2,3
Lilac/Mint Long Sleeve Shirts,2025-04-13,Children — Girls  Clothing,2,52.0,26.52,Debit Card,2028,Cavan,Female,Category 25-34,2025,2,3
Hawaiian Print Sun Safe Two Piece,2025-04-14,Children  — Girls Clothing,2,35.0,17.85,Debit Card,9053,Dublin,Female,Group 35-44,2025,2,3
Light Grey Straight Fit Jeans,2025-04-14,Men — Jeans,2,58.0,23.2,Debit Card,2028,Cavan,Female,25-34,2025,2,3
Black Jersey Denim Leggings,2025-04-14,Men — Trousers,-1,57.0,27.93,Debit Card,6718,Kildare,M,Category 35—44,2025,2,3
Black Loose Fit Jeans,2025-04-14,Men — Jeans,1,29.0,11.6,Credit Card,14478,Dublin,Male,Range 35-44,2025,2,3
Red Joggers Two Pack,2025-04-14,Children — Boys Clothing,1,15.0,7.65,Credit Card,3375,Dublin,M,Group 18-24,2025,2,3
Pink Cheque Shirt Dress,2025-04-14,Children — Girls Clothing,1,16.5,8.41,Debit Card,16297,Dublin,Female,Category 25-34,2025,2,3
Grey Marl Panda Face Crew,2025-04-14,Children —  Boys Clothing,3,34.5,17.59,Debit Card,9191,Clare,Male,Category 25—34,2025,2,3
Grey Marl Panda Face Crew,2025-04-15,Children —  Boys Clothing,1,11.5,5.87,Debit Card,11556,Dublin,Female,Range 25–34,2025,2,3
Lilac/Mint Long Sleeve Shirts,2025-04-15,Children — Girls Clothing,1,26.0,13.26,Voucher,5995,Sligo,M,Category 25-34,2025,2,3
Blue Floral Embroidered Mac,2025-04-15,Children — Girls Clothing,1,35.0,17.85,PayPal,2116,Offaly,F,Range 35-44,2025,2,3
Black Skinny Fit Jeans,2025-04-15,Men — Jeans,1,46.0,18.4,CC,8403,Limerick,Female,25–34,2025,2,3
Blue Corbed Sandals,2025-04-15,Children — Boys Clothing,1,16.65,7.58,Credit Card,5428,Cork,Female,Range 18-24,2025,2,3
Black Skinny Zip Trousers,2025-04-15,Men — Trousers,1,46.0,22.54,PayPal,16034,Dublin,Male,Range 25-34,2025,2,3
Camp Stool,2025-04-16,Homeware — Design,3,49.5,19.8,Credit Card,9947,Cork,M,Group 55—64,2025,2,3
Red Joggers Two Pack,2025-04-16,Children — Boys Clothing,1,15.0,7.65,Credit Card,15034,Dublin,M,45-54,2025,2,3
Hawaiian Print Sun Safe Two Piece,2025-04-16,Children — Girls Clothing,2,35.0,17.85,CC,3319,Cork,M,Range 18—24,2025,2,3
Rose Print Prom Dress,2025-04-16,Children — Girls Clothing,2,74.0,37.74,Credit Card,17144,Cork,F,Group 25–34,2025,2,3
Pink Slim Fit Double Cuff Shirt,2025-04-17,Men — Shirts,1,29.0,11.02,Credit Card,18447,Wicklow,Male,35—44,2025,2,3
Marshall Oxford Shirt,2025-04-17,Men  — Shirts,2,126.0,47.88,Debit Card,15225,Dublin,Prefer not to say,Group 25-34,2025,2,3
Lattice Runner,2025-04-17,Homeware  — Design,1,86.0,34.4,Credit Card,11828,Dublin,F,55-64,2025,2,3
Black Skinny Fit Jeans,2025-04-18,Men — Jeans,1,46.0,18.4,Debit Card,4097,Dublin,M,25—34,2025,2,3
Fluro Shorts Two Pack,2025-04-18,Children — Boys Clothing,3,52.5,26.77,Credit Card,3403,Dublin,Female,25-34,2025,2,4
Chevron Pattern Towering Heels,2025-04-18,Men — Shoes,1,57.0,25.65,CC,16869,Monaghan,Female,Range 55—64,2025,2,4
Pink Cheque Shirt Dress,2025-04-19,Children — Girls Clothing,1,16.5,8.41,Debit Card,8916,Dublin,F,Category 45—54,2025,2,4
Orange/Navy Shorts Three Pack,2025-04-19,Children  — Girls Clothing,1,16.5,8.41,Debit Card,7444,Galway,Female,Group 35-44,2025,2,4
White Polo Two Pack,2025-04-19,Children — Girls Clothing,1,7.5,3.83,Credit Card,3334,Cork,Prefer not to say,Category 25-34,2025,2,4
Light Blue Ditsy Slub Dress,2025-04-19,Women — Dresses,1,22.5,11.25,Credit Card,14762,Dublin,Female,45-54,2025,2,4
Dwellers Stool,2025-04-20,Homeware — Design,7,80.5,32.2,Credit Card,9478,Dublin,F,Range 18-24,2025,2,4
White Cropped Leggings,2025-04-20,Men — Trousers,1,35.0,17.15,Debit Card,18956,Laois,M,Range 25-34,2025,2,4
Orange/Navy Shorts Three Pack,2025-04-20,Children — Girls Clothing,1,16.5,8.41,Credit Card,17378,Kildare,F,25-34,2025,2,4
Mid Blue Straight Fit Jeans,2025-04-21,Men — Jeans,1,38.0,15.2,Debit  Card,3097,Cork,Female,45–54,2025,2,4
Dark Ink Slim Fit Jeans,2025-04-21,Men — Jeans,1,46.0,18.4,Credit Card,17356,Mayo,Male,Category 55-64,2025,2,4
Juliette Pullover,2025-04-21,Women — Tops,1,47.7,26.5,Debit Card,3868,Kilkenny,Male,Category 45—54,2025,2,4
Black Signature Point Court Shoes,2025-04-21,Women — Shoes,1,39.6,15.4,Debit Card,16406,Donegal,Female,Group 45–54,2025,2,4
Long Sleeve Swing Shirt,2025-04-21,Women — Tops,1,35.0,21.0,Debit Card,18553,Louth,Male,Range 35-44,2025,2,4
Hawaiian Print Sun Safe Two Piece,2025-04-22,Children — Girls Clothing,2,35.0,17.85,Debit Card,14634,Roscommon,Female,Range 25—34,2025,2,4
Grey Marl Panda Face Crew,2025-04-22,Children — Boys Clothing,1,11.5,5.87,Debit Card,17906,Dublin,Female,Category 25—34,2025,2,4
Black Single Cuff Shirt,2025-04-22,Men — Shirts,2,84.0,31.92,CC,16869,Monaghan,Female,Range 55-64,2025,2,4
Woodel Wall Mirror,2025-04-22,Homeware — Design,1,66.0,26.4,Credit Card,3806,Limerick,Female,Category 18–24,2025,2,4
Lodge Women's Shirt,2025-04-22,Women — Tops,2,66.6,37.0,Credit Card,17103,Clare,Female,18—24,2025,2,4
Black Skinny Fit Ultra Flex Jeans,2025-04-22,Men — Jeans,1,33.0,13.2,Credit Card,14853,Cork,Prefer not to say,Group 25-34,2025,2,4
Navy Linen Blend Dress,2025-04-23,Women — Dresses,1,30.0,15.0,Credit Card,1787,Kilkenny,Female,Group 25-34,2025,2,4
Floral Embroidered Kaftan,2025-04-23,Children — Girls Clothing,1,32.0,16.32,Debit Card,19222,Dublin,Male,Category 25-34,2025,2,4
Lattice Runner,2025-04-23,Homeware — Design,4,344.0,137.6,Credit Card,6217,Roscommon,Female,Group 18–24,2025,2,4
Dawson Trolley,2025-04-23,Homeware — Design,1,57.0,22.8,Credit Card,10034,Cork,Male,Range 18-24,2025,2,4
White Polo Two Pack,2025-04-23,Children —  Girls Clothing,2,15.0,7.65,Debit Card,15416,Dublin,Female,Category 25-34,2025,2,4
Knitted Pom Pom Throw,2025-04-24,Homeware — Bed  Bath,1,29.7,8.25,CC,3787,Roscommon,Female,25-34,2025,2,4
Rose Gold Two Tier Drainer,2025-04-24,Homeware — Design,2,62.0,24.8,Credit Card,5378,Dublin,F,35-44,2025,2,4
Navy Short Sleeve Linen Blend Shirt,2025-04-24,Men  — Shirts,1,21.15,6.58,Credit Card,6568,Mayo,Male,Group 35-44,2025,2,4
Floral Embroidered Kaftan,2025-04-24,Children — Girls Clothing,1,32.0,16.32,Debit Card,7884,Louth,Male,Range 18-24,2025,2,4
Blue Floral Embroidered Mac,2025-04-24,Children — Girls Clothing,1,35.0,17.85,Debit Card,13725,Dublin,Female,Category 45-54,2025,2,4
Navy Short Sleeve Linen Blend Shirt,2025-04-25,Men — Shirts,1,21.15,6.58,Debit Card,5279,Tipperary,F,25-34,2025,2,5
Marshall Oxford Shirt,2025-04-25,Men — Shirts,2,126.0,47.88,Debit Card,9034,Cork,M,Range 25-34,2025,2,5
Black Loose Fit Jeans,2025-04-25,Men — Jeans,1,29.0,11.6,Credit Card,18931,Dublin,Female,Range 35–44,2025,2,5
Black Single Cuff Shirt,2025-04-25,Men — Shirts,3,126.0,47.88,Debit Card,14025,Dublin,F,18-24,2025,2,5
Navy Tailored Trousers,2025-04-25,Men — Trousers,4,168.0,82.32,CC,3881,Dublin,Male,Category 25—34,2025,2,5
Blue Floral Embroidered Mac,2025-04-25,Children — Girls Clothing,1,35.0,17.85,Credit Card,11550,Cork,Female,Group 25-34,2025,2,5
Blue Stripe Snuggle Fit Pyjamas,2025-04-25,Children  — Boys Clothing,5,92.5,47.17,Debit Card,4791,Cork,Female,35-44,2025,2,5
Light Grey Straight Fit Jeans,2025-04-26,Men — Jeans,1,29.0,11.6,Debit Card,11162,Kildare,Female,Category 35—44,2025,2,5
